"","Control Number","Course Number","Section","Day-Hour","Room","Course Title","Unit Credit","Instructor","Exam Group","Restrictions","Department"
"1","00503","R1A","001 LEC","MW 9-11A","190 BARROWS","Freshman Composition","4","NANDA, A","NONE","FR, SO & BY CATEGORY; CURRENTLY FULL","AFRICAN AMERICAN STUDIES"
"2","00509","R1B","001 LEC","MW 11-1P","190 BARROWS","Freshman Composition","4","NANDA, A","NONE","FR, SO & BY CATEGORY","AFRICAN AMERICAN STUDIES"
"3","00515","4B","001 LEC","TuTh 330-5P","101 MOFFITT","Africa: History and Culture","4","NWOKEJI, G","20","","AFRICAN AMERICAN STUDIES"
"4","00518","4B","101 DIS","W 11-12P","3119 ETCHEVERRY","Africa: History and Culture","","","","","AFRICAN AMERICAN STUDIES"
"5","00521","4B","102 DIS","W 12-1P","3109 ETCHEVERRY","Africa: History and Culture","","","","","AFRICAN AMERICAN STUDIES"
"6","00524","4B","103 DIS","W 1-2P","3109 ETCHEVERRY","Africa: History and Culture","","","","","AFRICAN AMERICAN STUDIES"
"7","00527","5B","001 LEC","MW 4-530P","213 WHEELER","African American Life and Culture in the United Sta...","4","THE STAFF","17","","AFRICAN AMERICAN STUDIES"
"8","00530","5B","101 DIS","Tu 2-3P","101 WHEELER","African American Life and Culture in the United Sta...","","","","","AFRICAN AMERICAN STUDIES"
"9","00533","5B","102 DIS","Tu 2-3P","174 BARROWS","African American Life and Culture in the United Sta...","","","","","AFRICAN AMERICAN STUDIES"
"10","00536","5B","103 DIS","Tu 3-4P","122 BARROWS","African American Life and Culture in the United Sta...","","","","","AFRICAN AMERICAN STUDIES"
"11","00539","10B","001 REC","MTuWTh 12-1P","65 EVANS","Intermediate Swahili","4","KYEU, D","11","","AFRICAN AMERICAN STUDIES"
"12","00542","11B","001 REC","MTuWTh 9-10A","174 BARROWS","Elementary Swahili","4","KYEU, D","4","","AFRICAN AMERICAN STUDIES"
"13","00545","15B","001 REC","MW 10-12P","61 EVANS","Advanced Swahili","4","KYEU, D","7","","AFRICAN AMERICAN STUDIES"
"14","00547","24","001 SEM","W 10-12P","205 WHEELER","Freshman Seminars","1: PF","TBA","","FR, SO","AFRICAN AMERICAN STUDIES"
"15","00815","24","002 SEM","W 2-3P","186 BARROWS","Freshman Seminars","1: PF","TBA","","FR, SO","AFRICAN AMERICAN STUDIES"
"16","00548","28AC","001 LEC","TuTh 1230-2P","102 WURSTER","Globalization and Minority American Communities","3","SMALL, S A","15","","AFRICAN AMERICAN STUDIES"
"17","00551","30B","001 LEC","MTuWTh 3-4P","174 BARROWS","Elementary Chichewa","4","MCHOMBO, S A","12","","AFRICAN AMERICAN STUDIES"
"18","00559","98","003 GRP","","","Directed Group Studies for Freshmen and","1-4: PF","RAIFORD, L","NONE","","AFRICAN AMERICAN STUDIES"
"19","00599","98BC","001 SEM","Tu 5-6P","50 BARROWS","Berkeley Connect","1: PF","COHEN, M M","NONE","CURRENTLY FULL","AFRICAN AMERICAN STUDIES"
